wind_direction,wind_speed
339.69485,2.0478146
337.582,2.5230165
325.83395,2.042155
307.30484,2.592391
280.62866,4.969618
305.89667,3.8697352
339.54694,3.3358254
11.324354,3.3616333
46.416496,4.017464
28.963436,1.7886564
37.658985,1.7632582
41.196316,2.120817
19.08283,1.6296285
73.911255,1.8448125
67.88525,2.5858665
55.947662,3.2660403
58.21187,4.320055
71.41135,5.407199
65.81695,5.554672
66.96093,4.398437
66.13913,3.1881795
78.55529,2.5433843
89.9878,2.750643
100.084816,1.5156559
211.9943,0.54250383
286.0103,0.9584859
297.06665,1.451552
341.25464,0.94427454
337.32965,1.426672
335.13153,1.7201914
331.09787,1.1677514
150.34103,1.2827394
159.00783,2.1775975
165.0062,3.354831
154.81216,2.9915042
135.0416,3.3054135
143.4501,3.6392372
148.32066,3.2472486
155.73306,2.6659994
162.08403,2.40697
151.58372,2.9010518
160.21983,4.1596675
163.75932,4.605255
176.5246,4.926576
179.8591,5.122992
169.89627,5.936075
175.58939,6.057973
177.84482,6.130331
177.2904,5.0017395
170.28784,4.9278283
195.81165,5.921801
199.85472,8.519729
200.89148,8.511363
200.99498,7.3879724
191.81409,9.221213
186.67459,6.947368
195.95036,6.0734167
199.03279,6.3180466
186.33932,8.955468
183.26099,9.866201
190.4614,10.519951
195.09586,10.749849
197.28839,8.389402
201.2658,5.2669845
184.80956,4.008546
198.47688,5.9952555
209.81764,6.7427263
209.7574,7.4025517
207.2069,8.55318
205.2002,6.1429043
211.07355,5.485944
207.62323,6.4650373
210.98782,6.5079947
203.9959,5.997849
208.53438,5.7487803
214.8289,5.3126063
214.99286,4.755233
222.74289,5.78083
220.4625,7.7009125
220.73149,6.610564
229.98422,6.3903565
235.37637,5.3144407
204.72084,5.1203103
197.46803,2.7538178
213.84056,4.851026
221.35493,5.751953
